headline,short_description,category
Is Eating Alone Becoming the Norm?,"It's a familiar picture: People eating while talking on the phone, reading emails, staring at computer screens, hurrying from appointment to appointment. Our hectic lifestyles rarely allow for lunch breaks exclusively dedicated to nourishment or sit-down dinners with loved ones.",WELLNESS
3 Ways To Be A More Mindful Athlete,Focusing on your breath and body during exercise can improve your performance.,WELLNESS
"Dems Hit GOP Senate Candidates Over Hobby Lobby, Birth Control",nan,POLITICS
Are We Monsters?,"Sometimes, a nation has to look in the mirror. Sometimes it has to come to a reckoning.",WELLNESS
Virginia Governor Strikes A Pose With Willie Nelson And His Pot,They look like best buds.,ENTERTAINMENT
"Jorge Ramos: Trump Is 'Loudest Voice Of Intolerance, Hatred and Division' In U.S.","""Countries are defined not by the way they treat the rich and powerful, but by the way they treat the most vulnerable.""",POLITICS
"Miami: Comfortable Beach Town, Deluxe City Life (PHOTOS)","It's a win-win situation: World-renown Miami Beach, a flip flop-wearing tourist's haven, and Downtown Miami, a vibrant new hot spot for upscale locals. Vacationing in these districts gives visitors the best of both worlds: Big beach fun and deluxe city life.",TRAVEL
Miranda Kerr: I Had No Idea My Instagram Was Photoshopped!,See Miranda Kerr's Photoshop-free Instagram photo below. How could anyone think this needed retouching? But don't make your,STYLE & BEAUTY
What Would Happen if All Moms Went 'Diaperless'?,"If all Americans start doing this, our world would look a lot more like it does... well... in the rest of the world, along with all the attendant problems the rest of the world is trying to escape from.",PARENTING
Puppy Love: New Online Dating Sites for Dogs,New sites such as MatchPuppy.com and SpotWag can help man's best friend find love and happiness on the Internet. Shouldn't our devoted four-legged friends have an opportunity to find love online?,STYLE & BEAUTY
Only One Juror Stands Between Michael Slager And A Conviction For Walter Scott’s Death,"""I cannot and will not change my mind,"" the juror said.",POLITICS
What Sort Of Foreign-Policy Hawk Is Hillary Clinton?,"It is often said, and it appears to be true, that Hillary Clinton is more hawkish on foreign policy than President Obama",POLITICS
How Might John McCain Survive Brain Cancer?,"The revered GOP Senator is the beneficiary of top-notch health care, but he faces a daunting, relentless disease.",HEALTHY LIVING
"Jo Robinson, 'Eating On The Wild Side' Author Busts Conventional Wisdom On Vegetables","Are fruits and veggies healthy? ""It depends on which ones you choose,"" says Robinson, who spent ten years researching the",WELLNESS
Mark Zuckerberg Is Literally Asking Congress To Regulate Facebook,He once promised to move fast and break things. Now will Congress step in to fix his mess?,POLITICS
Lifestyle? How About Deathstyle?,"Joan showed me shapes and I chose favorites, she painted pictures of how the symbols could be used. I picked a palette of colors I love. She asked me to come to an early firing, and I put one of the pots into a tiny kiln filled with pine needles. It wasn't lost on me that there were ashes involved.",STYLE & BEAUTY
The Senate Is Still Struggling To Reach A Deal On Zika Funding,"Oh, and an agreement that would keep the government open.",POLITICS
The Best Snacks to Bring on Airplanes,"Do you crave Biscoff cookies or Terra Blues potato chips? If you do, you're probably a frequent flier. I travel a fair amount and while some airlines offer decent snacks, more often than not they are sold out or not available by the time they get to my row, so I find it's best to be prepared.",TRAVEL
A Letter To The Doctors And Nurses Who Cared For My Wife,"After his 34-year-old wife suffered a devastating asthma attack and later died, the Boston writer Peter DeMarco penned the",HEALTHY LIVING
HUFFPOLLSTER: Third Party And Undecided Voters Could Break For Donald Trump,Polls find opportunities for the business mogul to make gains in these groups.,POLITICS
